,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,NOC_advantage,Height_div_avg,Weight_div_avg,Age_div_avg
9616,5268,Jos Javier Arqus Ferrer,M,24.0,181.0,74.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,0,0.07,-0.62,-3.12,-0.03
9617,5268,Jos Javier Arqus Ferrer,M,28.0,181.0,74.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,0.07,-1.42,-5.18,3.18
9635,5279,Hernando Arrechea,M,21.0,184.0,78.0,Colombia,COL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,2.42,-0.08,-3.52
9646,5289,Niklas Bo Arrhenius,M,25.0,194.0,122.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,,0,0,0.0,8.86,36.63,-0.54
9778,5354,Todor Arkadi Todorov Artarski,M,25.0,192.0,102.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,,0,0,0.02,10.76,23.98,0.96
9911,5425,Jan Magnus Arvidsson,M,25.0,191.0,100.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,5.86,14.63,-0.54
9950,5439,Donaldo Arza,M,26.0,180.0,69.0,Panama,PAN,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,0,0.17,-1.69,-9.52,1.42
9957,5444,Mohammad Arzandeh,M,24.0,180.0,77.0,Iran,IRI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,,0,0,0.0,-5.51,-8.64,-1.67
9958,5444,Mohammad Arzandeh,M,28.0,180.0,77.0,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,,0,0,0.0,-5.1,-7.18,2.18
9983,5456,Nobuharu Asahara,M,24.0,179.0,76.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,0.0,-5.4,-6.43,-1.59
9985,5456,Nobuharu Asahara,M,24.0,179.0,76.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,,0,0,0.0,-5.4,-6.43,-1.59
9987,5456,Nobuharu Asahara,M,32.0,179.0,76.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,0.0,-5.98,-9.03,6.31
9989,5456,Nobuharu Asahara,M,36.0,179.0,76.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,1,0.0,-6.14,-9.37,10.46
10027,5479,John Asare-Antwi,M,24.0,177.0,65.0,Ghana,GHA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,,0,0,0.0,-4.24,-13.02,-0.04
10031,5482,Charles Asati,M,22.0,178.0,68.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,0,0.15,-3.58,-10.08,-2.52
10034,5482,Charles Asati,M,26.0,178.0,68.0,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,1,0.14,-3.69,-10.52,1.42
10106,5523,Ronnie Ash,M,28.0,188.0,95.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,2.9,10.82,2.18
10107,5524,Vitus Ashaba,M,29.0,173.0,59.0,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,0,0.05,-8.69,-19.52,4.42
10174,5561,Nickel Ashmeade,M,26.0,183.0,77.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,0,0.0,-2.1,-7.18,0.18
10196,5576,"Andrew John ""Andy"" Ashurst",M,23.0,178.0,69.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Pole Vault,,0,0,0.08,-4.42,-10.18,-1.82
10215,5583,Ismail Mohamed Asif Waheed,M,20.0,162.0,52.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,0.0,-20.42,-27.18,-4.82
10234,5594,Victor Asirvatham,M,28.0,168.0,60.0,Malaysia,MAS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,0,0.0,-13.58,-18.08,3.48
10242,5598,Rouhollah Askari Gandomani,M,30.0,187.0,82.0,Iran,IRI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,1.49,-3.64,4.33
10400,5697,Jos Nicols Astacio,M,21.0,166.0,49.0,El Salvador,ESA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,0,0.0,-15.58,-29.08,-3.52
10509,5742,Volodymyr Mykolaiovych Atamas,M,22.0,181.0,76.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,0,0.27,-0.69,-2.52,-2.58
10531,5760,Nikolay Atanasov Atanasov,M,25.0,187.0,75.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,,0,0,0.0,2.21,-9.27,-0.77
10532,5760,Nikolay Atanasov Atanasov,M,29.0,187.0,75.0,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,,0,0,0.0,2.02,-10.03,3.31
10533,5760,Nikolay Atanasov Atanasov,M,33.0,187.0,75.0,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,,0,0,0.0,1.86,-10.37,7.46
10612,5803,Hseyin Atc,M,26.0,188.0,118.0,Turkey,TUR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Shot Put,,0,0,0.0,2.49,32.36,0.33
10627,5813,Derrick Atkins,M,24.0,185.0,88.0,Bahamas,BAH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,0,0.0,-0.14,2.63,-1.54
10628,5813,Derrick Atkins,M,28.0,185.0,88.0,Bahamas,BAH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,0,0.0,-0.51,2.36,2.33
10629,5814,Henrico O. Atkins,M,22.0,173.0,60.0,Barbados,BAR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,0.06,-9.42,-19.18,-2.82
10631,5814,Henrico O. Atkins,M,25.0,173.0,60.0,Barbados,BAR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,0.07,-10.59,-20.31,-0.05
10654,5824,"Jeffrey Patrick ""Jeff"" Atkinson",M,25.0,185.0,68.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,0.3,2.58,-11.18,0.18
10660,5828,John David Atkinson,M,20.0,184.0,71.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's High Jump,,0,0,0.05,2.38,-6.12,-4.03
10714,5856,Alessandro Attene,M,23.0,183.0,75.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,0,0.05,-1.79,-9.27,-2.77
10721,5861,Philip Mawuli  Attipoe,M,21.0,173.0,68.0,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,0,0.0,-8.62,-9.12,-3.03
10744,5879,James A. Atuti,M,30.0,188.0,80.0,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,0,0.15,6.38,2.88,5.97
10746,5881,Duncan Fuller MacTavish Atwood,M,28.0,186.0,98.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Javelin Throw,,0,0,0.31,4.38,20.88,3.97
11026,6025,Charles Allen Austin,M,24.0,183.0,77.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,,0,0,0.28,-0.59,-3.31,-1.05
11027,6025,Charles Allen Austin,M,28.0,183.0,77.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's High Jump,Gold,1,0,0.29,-1.4,-5.43,2.41
11028,6025,Charles Allen Austin,M,32.0,183.0,77.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's High Jump,,0,1,0.28,-1.79,-7.27,6.23
11092,6062,Fatih Avan,M,23.0,183.0,90.0,Turkey,TUR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,-2.51,4.36,-2.67
11114,6076,Hennadiy Valentynovych Avdieienko,M,24.0,202.0,82.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,Gold,1,0,0.0,19.58,2.82,-0.82
11151,6091,"Aleksandr ""Alex"" Averbukh",M,25.0,178.0,76.0,Israel,ISR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Pole Vault,,0,0,0.0,-6.79,-8.27,-0.77
11152,6091,"Aleksandr ""Alex"" Averbukh",M,29.0,178.0,76.0,Israel,ISR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,,0,0,0.0,-6.98,-9.03,3.31
11153,6091,"Aleksandr ""Alex"" Averbukh",M,33.0,178.0,76.0,Israel,ISR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,,0,0,0.0,-7.14,-9.37,7.46
11228,6137,Roman Valeriyovych Avramenko,M,20.0,185.0,90.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,,0,0,0.11,-0.14,4.63,-5.54
11229,6137,Roman Valeriyovych Avramenko,M,24.0,185.0,90.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,,0,0,0.14,-0.51,4.36,-1.67
11268,6164,Nduka Awazie,M,19.0,172.0,74.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,1,0.0,-12.79,-10.27,-6.77
11274,6168,Mark Anthony Awere,M,21.0,172.0,74.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,,0,0,0.0,-12.79,-10.27,-4.77
11275,6169,Aggrey Sheroy Awori,M,21.0,188.0,77.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,0,0.04,6.76,-1.02,-3.04
11276,6169,Aggrey Sheroy Awori,M,21.0,188.0,77.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.04,6.76,-1.02,-3.04
11279,6169,Aggrey Sheroy Awori,M,25.0,188.0,77.0,Uganda,UGA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.04,6.67,-1.04,0.43
11318,6186,Arif Axundov,M,23.0,187.0,70.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,0.0,2.6,-12.43,-2.59
11472,6264,Silver Ayoo,M,21.0,188.0,72.0,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,0,0.05,6.31,-6.52,-3.58
11473,6264,Silver Ayoo,M,29.0,188.0,72.0,Uganda,UGA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,0.07,5.47,-6.56,4.73
11488,6272,Sanjay Claude Ayre,M,28.0,188.0,84.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,1,0.19,2.86,-1.37,2.46
11627,6336,Masoud Azizi,M,19.0,168.0,64.0,Afghanistan,AFG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,0.0,-16.98,-21.03,-6.69
11628,6336,Masoud Azizi,M,23.0,168.0,64.0,Afghanistan,AFG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,0,0.0,-17.14,-21.37,-2.54
11629,6336,Masoud Azizi,M,27.0,168.0,64.0,Afghanistan,AFG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,0,0.0,-17.51,-21.64,1.33
11682,6373,Mohamed Azzedine Azzouzi,M,24.0,181.0,65.0,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,0,0.12,-0.69,-13.52,-0.58
11689,6380,Papa Ibrahima Ba,M,30.0,186.0,77.0,Senegal,SEN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,0,0.0,3.16,-4.39,5.61
11703,6389,Mehdi Abdelhafid Baala,M,22.0,183.0,65.0,France,FRA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,0.09,-1.79,-19.27,-3.77
11704,6389,Mehdi Abdelhafid Baala,M,25.0,183.0,65.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,0.12,-1.98,-20.03,-0.69
11705,6389,Mehdi Abdelhafid Baala,M,29.0,183.0,65.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",Bronze,1,0,0.14,-2.14,-20.37,3.46
11736,6406,Jaroslav Bba,M,19.0,199.0,86.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's High Jump,Bronze,1,0,0.0,14.02,0.97,-6.69
11737,6406,Jaroslav Bba,M,23.0,199.0,86.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,,0,1,0.0,13.86,0.63,-2.54
11738,6406,Jaroslav Bba,M,27.0,199.0,86.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,,0,1,0.0,13.49,0.36,1.33
11739,6406,Jaroslav Bba,M,31.0,199.0,86.0,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,,0,1,0.0,13.9,1.82,5.18
11741,6408,Youssef Baba,M,21.0,176.0,58.0,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,0.12,-8.79,-26.27,-4.77
11742,6408,Youssef Baba,M,25.0,176.0,58.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,0.09,-8.98,-27.03,-0.69
11743,6408,Youssef Baba,M,28.0,176.0,58.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,0,0.17,-9.14,-27.37,2.46
11753,6416,Akbar Babakhanlou,M,25.0,168.0,60.0,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,,0,0,0.04,-13.33,-18.04,0.43
11793,6435,"Walter Delville N. ""Wallie"" Babb",M,23.0,187.0,75.0,Zambia,ZAM,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,5.67,-3.04,-1.57
11818,6448,Alonzo Carl Babers,M,22.0,188.0,70.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Gold,1,0,0.31,6.38,-7.12,-2.03
11877,6470,Laslo Babits,M,26.0,183.0,106.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Javelin Throw,,0,0,0.07,1.38,28.88,1.97
11878,6471,"Richard Aldrich ""Rink"" Babka",M,23.0,195.0,121.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,Silver,1,0,0.35,13.76,42.98,-1.04
11882,6475,Subul Babo,M,26.0,175.0,65.0,Papua New Guinea,PNG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,0.0,-8.59,-15.31,0.95
11884,6475,Subul Babo,M,30.0,175.0,65.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,0,0.0,-9.4,-17.43,4.41
11905,6486,Suresh Babu,M,19.0,187.0,72.0,India,IND,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's High Jump,,0,0,0.0,5.31,-6.52,-5.58
12067,6570,Mikhail Yordanov Bachvarov,M,24.0,174.0,73.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,0,0.02,-7.24,-5.02,-0.04
12113,6590,"Ronald Lee ""Ron"" Backes",M,29.0,190.0,125.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put,,0,0,0.28,6.41,44.69,3.95
12119,6594,"Stephen James ""Steve"" Backley",M,23.0,195.0,102.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Javelin Throw,Bronze,1,0,0.08,11.41,21.69,-2.05
12120,6594,"Stephen James ""Steve"" Backley",M,27.0,195.0,102.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Javelin Throw,Silver,1,1,0.06,10.6,19.57,1.41
12121,6594,"Stephen James ""Steve"" Backley",M,31.0,195.0,102.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Javelin Throw,Silver,1,2,0.06,10.21,17.73,5.23
12122,6594,"Stephen James ""Steve"" Backley",M,35.0,195.0,102.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Javelin Throw,,0,3,0.08,10.02,16.97,9.31
12216,6642,Sunday Bada,M,23.0,188.0,79.0,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,0.0,4.41,-1.31,-2.05
12218,6642,Sunday Bada,M,27.0,188.0,79.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,0,0.0,3.6,-3.43,1.41
12220,6642,Sunday Bada,M,31.0,188.0,79.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,0,0.0,3.21,-5.27,5.23
12237,6652,"Andrew James ""Andy"" Baddeley",M,26.0,186.0,70.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,0,0.09,0.86,-15.37,0.46
12238,6652,"Andrew James ""Andy"" Baddeley",M,30.0,186.0,70.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",,0,0,0.08,0.49,-15.64,4.33
12258,6660,Joel Baden,M,20.0,190.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,,0,0,0.0,4.9,-14.18,-5.82
12260,6662,Andrzej Stanisaw Badeski,M,21.0,173.0,68.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,Bronze,1,0,0.1,-8.33,-10.04,-3.57
12262,6662,Andrzej Stanisaw Badeski,M,25.0,173.0,68.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,1,0.11,-8.58,-10.08,0.48
12264,6662,Andrzej Stanisaw Badeski,M,29.0,173.0,68.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,1,0.12,-8.69,-10.52,4.42
12266,6663,Ahmed Bader Magour,M,20.0,190.0,90.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,4.9,5.82,-5.82
12322,6688,Ndiss Kaba Badji,M,20.0,190.0,82.0,Senegal,SEN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,,0,0,0.0,5.02,-3.03,-5.69
12323,6688,Ndiss Kaba Badji,M,24.0,190.0,82.0,Senegal,SEN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,,0,0,0.0,4.86,-3.37,-1.54
12325,6688,Ndiss Kaba Badji,M,28.0,190.0,82.0,Senegal,SEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,,0,0,0.0,4.49,-3.64,2.33
12501,6799,Dmitry Bagryanov,M,24.0,188.0,78.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,,0,0,0.0,4.41,-2.31,-1.05
12504,6802,John R. Baguley,M,20.0,188.0,77.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,0,0,0.05,6.76,-1.02,-4.04
12507,6804,Istvn Bagyula,M,19.0,185.0,80.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Pole Vault,,0,0,0.02,2.58,0.82,-5.82
12508,6804,Istvn Bagyula,M,23.0,185.0,80.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,,0,0,0.03,1.41,-0.31,-2.05
12515,6810,Oleksandr Mykolaiovych Bahach,M,29.0,194.0,135.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Shot Put,Bronze,1,0,0.07,9.6,52.57,3.41
12580,6858,Odair Pericles dos Ramos Jess da Costa Baia,M,18.0,176.0,63.0,Sao Tome and Principe,STP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,0.0,-8.4,-19.43,-7.59
12648,6888,Daniel Everton Bailey,M,17.0,179.0,68.0,Antigua and Barbuda,ANT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,0.0,-5.98,-17.03,-8.69
12649,6888,Daniel Everton Bailey,M,21.0,179.0,68.0,Antigua and Barbuda,ANT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,0,0.0,-6.14,-17.37,-4.54
12650,6888,Daniel Everton Bailey,M,25.0,179.0,68.0,Antigua and Barbuda,ANT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,0,0.0,-6.51,-17.64,-0.67
12651,6888,Daniel Everton Bailey,M,29.0,179.0,68.0,Antigua and Barbuda,ANT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,0,0.0,-6.1,-16.18,3.18
12652,6889,"David George ""Dave"" Bailey",M,23.0,183.0,70.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",,0,0,0.06,1.42,-8.08,-1.52
12653,6890,Donovan Bailey,M,28.0,183.0,82.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Gold,1,1,0.09,-1.4,-0.43,2.41
12655,6890,Donovan Bailey,M,32.0,183.0,82.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,2,0.11,-1.79,-2.27,6.23
12692,6905,Ryan Bailey,M,23.0,193.0,82.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,0,0.23,7.49,-3.64,-2.67
12703,6911,Tavis Bailey,M,24.0,191.0,125.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,,0,0,0.0,5.9,40.82,-1.82
12747,6932,"Andretti ""Dretti"" Bain",M,22.0,175.0,65.0,Bahamas,BAH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,1,0.0,-10.14,-20.37,-3.54
12761,6940,Inoke Ducia Bainimoli,M,25.0,183.0,70.0,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,0,0.0,1.38,-7.12,0.97
12766,6943,"Donald George ""Don"" Baird",M,25.0,176.0,69.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Pole Vault,,0,0,0.06,-6.84,-12.39,0.61
12768,6945,"Malcolm David ""Mal"" Baird",M,24.0,185.0,74.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.06,3.31,-4.52,-0.58
12821,6969,Balzs Baji,M,23.0,192.0,85.0,Hungary,HUN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,6.49,-0.64,-2.67
12822,6969,Balzs Baji,M,27.0,192.0,85.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,6.9,0.82,1.18
12870,6995,Mohamed Ridjali Bakar,M,23.0,170.0,60.0,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,0.0,-14.4,-22.43,-2.59
12873,6998,Salaheddine Bakar Al-Safi,M,20.0,185.0,68.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,0,0.13,0.21,-16.27,-5.77
12890,7010,Bevyn H. Baker,M,23.0,175.0,70.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,0,0,0.05,-6.24,-8.02,-1.04
12895,7014,"Christopher Edwin ""Chris"" Baker",M,25.0,194.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,,0,0,0.0,8.9,-4.18,-0.82
13048,7092,Gyrgy Bakos,M,28.0,188.0,77.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.02,5.58,-2.18,3.18
13055,7098,Bla Bakosi,M,23.0,180.0,67.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,0,0.02,-2.53,-11.56,-1.27
13090,7117,Jan Balachowski,M,19.0,183.0,76.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,0,0.11,1.42,-2.08,-5.52
13237,7182,Piotr Balcerzak,M,25.0,175.0,68.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,0.1,-9.79,-16.27,-0.77
13239,7183,Kassa Balcha,M,24.0,182.0,66.0,Ethiopia,ETH,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-0.53,-12.56,-0.27
13310,7224,Sean Michael Baldock,M,23.0,173.0,73.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,0,0.06,-11.79,-11.27,-2.77
13347,7248,Anthony Richard Balfour,M,18.0,185.0,75.0,Bahamas,BAH,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,0,0.0,3.42,-3.08,-6.52
13359,7254,Viktor Balikhin,M,30.0,185.0,82.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.26,3.42,3.92,5.48
13507,7328,Jorge Esteban Balliengo,M,30.0,193.0,112.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,,0,0,0.0,7.86,26.63,4.46
