,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,NOC_advantage,Height_div_avg,Weight_div_avg,Age_div_avg
229004,114979,"David Eldon ""Dave"" Stephens",M,34.0,190.0,104.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Javelin Throw,,0,0,0.29,5.6,21.57,8.41
229027,114997,Andrzej Stpie,M,27.0,180.0,76.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,0.1,-2.53,-2.56,2.73
229207,115089,Patrick Stevens,M,20.0,183.0,78.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,0.0,0.58,-1.18,-4.82
229209,115089,Patrick Stevens,M,24.0,183.0,78.0,Belgium,BEL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,0.0,-0.59,-2.31,-1.05
229211,115089,Patrick Stevens,M,28.0,183.0,78.0,Belgium,BEL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,0.0,-1.4,-4.43,2.41
229233,115100,Dale Stevenson,M,24.0,181.0,128.0,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Shot Put,,0,0,0.0,-4.51,42.36,-1.67
229234,115101,"David Deas ""Dave"" Stevenson",M,22.0,175.0,66.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Pole Vault,,0,0,0.08,-6.33,-12.04,-2.57
229260,115115,Toby Lynn Stevenson,M,27.0,185.0,81.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,Silver,1,0,0.23,0.02,-4.03,1.31
229382,115171,"Raymond Douglas ""Ray"" Stewart",M,19.0,178.0,73.0,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,1,0.11,-3.62,-4.12,-5.03
229384,115171,"Raymond Douglas ""Ray"" Stewart",M,23.0,178.0,73.0,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,1,0.12,-4.42,-6.18,-1.82
229385,115171,"Raymond Douglas ""Ray"" Stewart",M,27.0,178.0,73.0,Jamaica,JAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,1,0.13,-5.59,-7.31,1.95
229387,115171,"Raymond Douglas ""Ray"" Stewart",M,31.0,178.0,73.0,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,1,0.13,-6.4,-9.43,5.41
229390,115173,Robinson David Stewart,M,20.0,185.0,70.0,Swaziland,SWZ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,0.0,1.41,-10.31,-5.05
229623,115294,Keith Frank Stock,M,27.0,176.0,73.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Pole Vault,,0,0,0.09,-5.62,-4.12,2.97
229710,115343,Valcho Stoev Khristov,M,28.0,187.0,117.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,,0,0,0.0,4.47,38.44,3.73
229927,115427,Manfred Stolle,M,31.0,185.0,92.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Javelin Throw,,0,0,0.3,3.42,13.92,6.48
229928,115427,Manfred Stolle,M,35.0,185.0,92.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Javelin Throw,,0,0,0.32,3.31,13.48,10.42
229929,115428,Michael Stolle,M,21.0,192.0,85.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,,0,0,0.1,7.6,2.57,-4.59
229930,115428,Michael Stolle,M,25.0,192.0,85.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Pole Vault,,0,0,0.1,7.21,0.73,-0.77
229965,115447,Karsten Stolz,M,20.0,208.0,142.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,,0,0,0.12,26.38,64.88,-4.03
229996,115463,Nelson Stone,M,28.0,179.0,75.0,Papua New Guinea,PNG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,0,0.0,-6.51,-10.64,2.33
230004,115467,"Robert Alan ""Rob"" Stone",M,23.0,176.0,71.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,0.05,-6.42,-8.18,-1.82
230009,115470,Dwight Edwin Stones,M,18.0,197.0,81.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's High Jump,Bronze,1,0,0.32,15.31,2.48,-6.58
230010,115470,Dwight Edwin Stones,M,22.0,197.0,81.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's High Jump,Bronze,1,1,0.32,14.16,-0.39,-2.39
230011,115470,Dwight Edwin Stones,M,30.0,197.0,81.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's High Jump,,0,2,0.31,15.38,3.88,5.97
230071,115500,Stuart Ellis Storey,M,26.0,183.0,75.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.09,1.42,-3.08,1.48
230101,115509,David Storl,M,21.0,198.0,117.0,Germany,GER,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Shot Put,Silver,1,0,0.14,12.49,31.36,-4.67
230102,115509,David Storl,M,26.0,198.0,117.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,,0,1,0.0,12.9,32.82,0.18
230301,115594,Stefan Georgiev Stoykov,M,29.0,184.0,80.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,1.47,1.44,4.73
230378,115636,Bo Staffan Strand,M,24.0,188.0,74.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's High Jump,,0,0,0.05,3.21,-10.27,-1.77
