ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
126538,0,-0.07,-6.87,-0.17
127062,0,3.93,-1.87,2.83
127381,0,4.91,5.85,6.09
127531,0,-3.74,-6.45,0.32
127553,0,-2.32,0.76,-0.21
127816,0,1.91,-2.15,4.09
128039,0,7.05,5.29,-3.67
128039,1,5.91,4.85,0.09
128039,2,5.09,4.03,4.88
128764,0,3.68,-3.24,-0.21
128773,0,-4.74,-3.45,-3.68
128773,0,-3.1,-1.3,-0.4
128780,0,4.41,-3.38,0.28
129620,0,-4.44,-6.72,-0.12
129659,0,5.56,8.28,-1.12
129730,0,2.85,4.06,-4.89
129730,0,2.1,5.24,-0.1
129730,0,2.56,5.28,2.88
129730,0,1.68,2.76,6.79
129755,0,-4.09,-0.15,-0.91
130284,0,1.9,5.7,-2.4
131052,0,-5.78,-2.21,-1.12
131519,0,5.56,6.28,4.88
131762,0,-3.95,-8.71,0.33
131762,0,-5.09,-9.15,4.09
131991,0,-5.95,-8.35,-0.38
132469,0,-4.07,-1.87,2.83
132469,1,-3.95,-3.71,5.33
132601,0,0.1,5.24,1.9
133525,0,-5.32,-0.96,-2.32
134253,0,7.09,8.03,-6.12
134253,0,5.85,7.06,-1.89
134253,0,5.1,8.24,2.9
134712,0,2.1,-2.76,-1.1
134960,0,4.9,4.7,-3.4
135164,0,-1.89,1.99,-2.03
135164,1,-2.78,2.79,0.88
135311,0,4.68,-2.96,-4.32
135311,0,3.41,-5.38,1.28
135311,0,3.05,-5.35,5.62
