ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
20039,0,9.1,1.52,-0.61
16180,0,-29.49,-14.45,-6.03
87187,0,-1.84,-3.87,-0.29
87831,0,1.43,-11.73,0.82
4008,0,5.94,13.69,-4.95
100963,0,-11.62,-26.88,3.83
4225,0,-1.62,-8.88,5.83
31948,0,-11.62,-15.88,-0.17
108631,0,-9.19,-4.62,-4.72
118968,0,5.81,8.38,2.28
126774,0,3.94,2.69,-1.95
77053,0,-1.19,-12.62,-0.72
4067,0,-9.84,-4.87,-0.29
464,0,-11.68,-14.07,-0.3
73172,0,-9.07,-8.88,-4.23
114241,0,1.38,-3.88,7.83
95637,0,7.32,21.93,-0.3
85586,0,7.85,-1.64,-1.88
5085,0,-3.62,-9.88,-0.17
37183,0,-7.07,-15.88,8.77
53770,0,-1.62,-11.88,-1.17
134253,0,13.5,20.93,2.14
135409,1,-4.19,-9.62,0.28
1702,0,-9.68,-5.07,-6.3
70676,0,6.38,-12.88,-8.17
4094,1,10.68,44.15,7.4
84236,0,3.43,-1.73,1.82
107728,0,0.45,3.54,2.7
16598,0,-0.32,4.15,8.4
105508,0,6.43,11.27,4.82
58405,1,-15.84,-20.87,10.71
31552,1,-5.68,-8.07,0.7
82767,0,0.81,-7.62,7.28
108528,0,17.1,45.52,7.39
32482,0,1.51,10.55,-3.03
80823,0,8.51,8.55,4.97
1474,0,-4.06,-5.31,2.05
77519,2,1.43,-1.73,9.82
57129,0,-9.62,-2.88,-4.17
95694,0,-2.9,-10.48,-2.61
88709,0,8.94,2.69,2.05
54757,0,-9.62,-21.88,-4.17
106340,0,-8.49,-13.45,1.97
58533,0,4.68,8.15,0.4
131336,0,-3.07,15.12,-3.23
12322,0,-3.49,-1.45,-3.03
110598,0,-7.68,-3.07,3.7
2075,0,-11.49,-4.45,-4.03
31028,0,-1.55,-11.46,-2.3
123801,0,12.81,0.88,8.28
101886,0,-1.5,-2.07,-0.86
89964,0,4.68,1.15,-4.6
8761,0,1.93,25.12,2.77
83892,0,-5.07,-7.88,-1.23
123932,0,16.32,46.93,8.7
26835,1,6.51,39.55,12.97
1597,0,-1.07,-11.88,0.77
89491,0,2.98,0.16,-5.23
71298,0,-12.02,-17.84,-0.23
61536,0,10.98,7.16,4.77
8279,0,-15.47,-24.44,7.95
119540,0,13.68,-1.85,4.4
36963,0,16.53,12.56,4.95
92287,0,-14.49,-14.45,-3.03
31085,0,1.45,4.54,-2.3
15267,0,-0.55,-10.46,-2.3
2834,0,-6.62,-3.88,0.83
76165,0,-2.32,-3.85,-2.6
79843,0,0.38,-4.88,-4.17
39587,0,7.98,33.16,-1.23
44046,0,3.38,41.12,9.83
28124,1,10.32,-1.07,3.7
20456,0,-23.57,-24.73,-8.18
11145,1,11.98,35.16,1.77
20286,0,-6.06,-5.31,-0.95
118742,0,-4.84,-3.87,-6.29
2396,0,-9.19,-14.62,-1.72
102874,0,-9.57,-16.73,6.82
109085,0,-8.57,-18.73,11.82
12546,0,-1.49,-11.45,-3.03
60593,0,-13.9,-14.48,-7.61
45055,0,11.85,50.36,2.12
11866,0,-28.9,-13.48,3.39
31477,0,3.16,9.13,-1.29
13454,0,7.38,9.12,-1.17
44935,1,-0.55,-10.46,5.7
34638,1,-2.02,-0.84,1.77
93044,0,-2.07,3.12,2.77
29664,0,1.43,-1.73,-1.18
34976,0,-6.19,-9.62,-0.72
21920,0,6.38,-5.88,9.83
24476,0,1.32,-4.07,-5.3
44094,0,1.98,3.16,2.77
42861,0,-2.9,0.52,4.39
127784,0,-10.9,-9.48,5.39
124769,0,7.16,12.13,0.71
84912,0,3.38,6.12,-0.17
13543,0,-1.84,-7.87,-2.29
120226,0,-11.15,-20.64,0.12
29063,0,4.94,-0.31,10.05
92879,0,7.1,13.52,-2.61
96614,0,9.43,16.27,-1.18
51954,0,2.45,17.54,-1.3
82245,1,-0.32,1.15,5.4
112069,0,4.94,-2.31,-1.95
13379,0,-12.9,-22.48,-0.61
54273,1,9.85,7.36,-0.88
89090,0,-1.06,-13.31,-1.95
129755,0,1.93,11.12,-0.23
102749,0,11.1,0.52,-2.61
39869,0,0.16,-9.87,-6.29
22020,0,-8.49,-9.45,-2.03
28213,0,1.81,6.38,-0.72
16096,0,-9.49,-6.45,-3.03
5159,1,8.16,48.13,4.71
16683,0,-6.07,-8.88,-4.23
85845,0,4.98,5.16,0.77
7856,0,-5.19,-15.62,6.28
21460,0,7.16,-2.87,-7.29
115852,0,1.85,3.36,0.12
