,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
210808,105863,Andrew Sartee,M,23.0,168.0,61.0,Liberia,LBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,0,-11.02,-11.84,-2.23
210810,105865,Alain Sarteur,M,26.0,177.0,77.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,0,-2.02,4.16,0.77
210851,105891,Taketsugu Saruwatari,M,21.0,171.0,60.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,0,-7.55,-12.46,-4.3
210852,105891,Taketsugu Saruwatari,M,25.0,171.0,60.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,0,-8.07,-12.88,-0.23
210911,105916,Satoru Sasaki,M,30.0,171.0,56.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,0,-9.9,-18.48,3.39
210912,105917,Seiichiro Sasaki,M,23.0,164.0,54.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Marathon,,0,0,-15.07,-18.88,-2.23
210976,105943,Vladimir Nikolayevich Sasimovich,M,27.0,178.0,88.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Javelin Throw,,0,0,-3.06,12.69,1.05
210977,105943,Vladimir Nikolayevich Sasimovich,M,31.0,178.0,88.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Javelin Throw,,0,0,-3.49,11.55,4.97
210997,105954,Mohamed Karim Sassi,M,27.0,185.0,77.0,Tunisia,TUN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,,0,0,3.94,1.69,1.05
211026,105973,"Haile (Ayele) Satayin (Seteng, Setegne)",M,42.0,169.0,54.0,Israel,ISR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,0,-12.62,-22.88,15.83
211027,105973,"Haile (Ayele) Satayin (Seteng, Setegne)",M,46.0,169.0,54.0,Israel,ISR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,0,-12.57,-22.73,19.82
211051,105983,Atsushi Sato,M,30.0,170.0,55.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,0,-11.57,-21.73,3.82
211111,106016,Mitsuhiro Sato,M,24.0,175.0,62.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,0,-6.62,-14.88,-2.17
211112,106016,Mitsuhiro Sato,M,24.0,175.0,62.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,,0,0,-6.62,-14.88,-2.17
211118,106020,Nobuyuki Sato,M,28.0,175.0,57.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,0,-6.49,-19.45,1.97
211195,106054,Yuki Sato,M,25.0,178.0,60.0,Japan,JPN,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",,0,0,-3.84,-16.87,-1.29
211196,106054,Yuki Sato,M,25.0,178.0,60.0,Japan,JPN,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 10,000 metres",,0,0,-3.84,-16.87,-1.29
211202,106059,Lszl Stor,M,27.0,182.0,68.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 50 kilometres Walk,,0,0,2.5,-4.07,2.14
211239,106081,"Bondata Venkata ""B. V."" Satyanarayan",M,25.0,170.0,61.0,India,IND,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,0,0,-8.47,-11.44,-0.05
211240,106081,"Bondata Venkata ""B. V."" Satyanarayan",M,29.0,170.0,61.0,India,IND,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,,0,0,-8.55,-11.46,3.7
211288,106101,Michael Sauer,M,27.0,183.0,77.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Triple Jump,,0,0,3.93,4.12,1.77
