ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
120422,0,-1.1,-12.18,-1.82
42145,0,-19.24,-21.02,-0.04
52588,0,-25.1,-22.18,-0.82
123746,0,5.49,7.36,-4.67
91118,0,-6.69,-15.52,2.42
95255,0,-8.62,-11.12,-3.03
110229,1,0.67,14.96,6.43
989,0,-8.24,-17.02,-4.04
43866,0,-18.69,-26.52,-2.58
91190,0,9.31,1.48,-0.58
46110,0,-0.1,-4.18,-6.82
94777,1,7.47,-2.56,0.73
72157,0,1.67,-6.04,-4.57
34018,0,-15.84,-17.39,-3.39
98375,0,-5.69,-10.52,2.42
107872,0,-0.69,-8.52,6.42
87268,0,5.21,-5.27,-1.77
55883,0,-7.84,-14.39,0.61
6804,0,1.41,-0.31,-2.05
33168,0,0.67,-5.04,1.43
81417,0,-13.84,-17.39,-2.39
60829,0,3.21,-6.27,-2.77
98788,0,-9.24,-5.02,2.96
9935,0,-3.59,-5.31,1.95
121475,0,10.21,4.73,4.23
106885,0,-3.33,-8.04,-2.57
110761,0,-2.33,-18.04,0.43
81183,0,15.6,37.57,0.41
17075,0,-16.69,-15.52,3.42
105693,0,9.31,6.48,-2.58
87073,0,-6.58,-1.08,-2.52
36390,0,7.6,27.57,2.41
22922,0,6.38,54.88,2.97
27415,0,5.47,1.44,-3.27
17602,1,-6.1,-10.18,-2.82
18171,0,1.6,-9.43,-4.59
26789,0,0.02,-2.03,-4.69
5881,0,4.38,20.88,3.97
87343,0,-11.58,-36.08,-4.52
46383,0,-16.59,-20.31,-5.05
73969,0,15.02,59.97,1.31
112391,0,12.02,43.97,-2.69
128842,0,2.41,28.69,0.95
55981,0,-10.24,-18.02,-1.04
58561,0,-1.58,-3.08,3.48
15618,0,-10.14,-14.37,2.46
81596,0,3.6,-3.43,-3.59
38764,0,-6.24,-14.02,5.96
20623,0,5.6,-5.43,6.41
129346,0,13.41,41.69,6.95
24554,0,-0.33,3.96,-0.57
67175,0,7.47,2.44,-2.27
64915,0,-2.98,-0.03,3.31
118220,0,11.6,37.57,-2.59
6389,0,-1.98,-20.03,-0.69
76673,0,-1.1,-11.18,2.18
16598,0,-4.4,-4.43,12.41
118137,0,10.38,32.88,-4.03
84585,0,-2.98,-22.03,-7.69
60790,1,-10.1,-16.18,-5.82
31328,0,6.86,-3.37,5.46
104580,0,5.38,-1.12,-0.03
20207,0,-1.62,-1.12,1.97
1909,0,-6.51,-30.64,-5.67
26684,0,-6.42,-5.18,4.18
54577,0,2.49,17.36,2.33
52259,0,10.9,-10.18,6.18
59068,0,-8.42,-15.18,6.18
4032,0,-8.69,-18.52,-2.58
34006,0,3.16,32.61,5.61
92710,1,-8.98,-19.03,5.31
36418,0,-2.84,-9.39,-1.39
682,0,-16.4,-27.43,-6.59
29737,0,-4.51,-7.64,-0.67
83404,0,-5.33,-5.04,6.43
24160,0,-16.58,-21.08,-2.52
36087,0,-4.79,-11.27,-1.77
3340,0,-5.1,2.82,0.18
129404,0,9.38,41.88,-1.03
108024,0,3.58,-6.18,7.18
33301,0,-6.58,-5.08,2.48
51721,1,-12.1,-27.18,3.18
108066,0,-0.51,-5.64,7.33
105395,0,0.16,-5.39,-1.39
104842,0,1.76,9.98,-2.04
96922,0,9.49,-6.64,6.33
48093,0,3.02,-0.03,0.31
31085,0,-1.58,-1.08,2.48
119943,1,-2.98,-7.03,2.31
90139,0,-7.1,-12.18,-8.82
15385,0,12.49,37.36,2.33
68958,0,-3.33,-13.04,2.43
17970,0,-6.59,-4.31,-0.05
129521,0,0.31,-8.52,-4.58
126772,0,4.02,51.97,10.31
84733,0,-4.4,-11.43,1.41
79979,0,6.67,42.96,4.43
10493,0,-1.51,-9.64,-0.67
49032,0,-11.59,-16.31,10.95
104552,0,-4.59,-16.31,-6.05
71319,0,-6.62,-9.12,-3.03
11492,0,9.6,29.57,-2.59
95663,0,-0.14,-10.37,-0.54
118985,0,5.42,39.92,3.48
10606,0,-1.69,-8.52,-1.58
100853,0,-0.51,-3.64,-2.67
12322,0,-6.98,-10.03,1.31
61513,0,-3.58,-7.08,3.48
48560,1,1.02,-8.03,-1.69
42127,0,4.86,24.63,-0.54
57144,0,-4.33,-3.04,1.43
1326,0,14.67,-6.04,-0.57
10839,0,8.76,2.98,0.96
84639,0,-15.59,-20.31,-9.05
44447,0,-4.84,-7.39,-1.39
15109,0,2.16,-4.39,-3.39
113255,0,-7.1,-22.18,4.18
131047,0,2.6,0.57,-3.59
116331,1,-9.4,-19.43,0.41
107349,0,5.42,1.92,1.48
2031,0,-6.42,-17.18,0.18
72802,0,-4.4,-17.43,0.41
42127,0,4.49,24.36,3.33
114,0,-22.53,-13.56,-4.27
16462,0,-0.53,-5.56,0.73
16096,0,-12.79,-14.27,-2.77
44537,0,6.21,24.73,1.23
134139,0,4.49,-9.64,-1.67
128637,0,4.9,-19.18,-1.82
42695,0,3.21,17.73,-2.77
25217,0,-4.69,-14.52,-2.58
40865,0,-5.51,-15.64,-0.67
116381,0,-26.24,-20.02,-0.04
56913,0,2.31,-1.02,0.42
48823,0,-7.69,-13.52,-0.58
6186,0,2.6,-12.43,-2.59
86,0,-0.53,-11.56,-2.27
29075,0,0.58,40.82,1.18
56182,0,3.42,23.92,-2.52
5760,0,2.21,-9.27,-0.77
60863,0,13.21,21.73,-1.77
134384,0,-22.53,-27.56,0.73
30207,0,-3.33,-3.04,3.43
53439,0,-15.42,-18.18,-2.82
29431,0,-2.62,-14.12,-3.03
15178,0,13.21,11.73,1.23
120471,0,11.67,14.96,-2.57
87241,0,1.31,-6.52,3.42
129704,0,9.31,7.48,1.42
75636,0,4.49,49.36,3.33
41301,0,-15.24,-20.02,1.96
123520,0,1.49,37.36,5.33
75657,0,-5.1,-8.18,6.18
5760,0,2.02,-10.03,3.31
32240,0,-4.33,-9.04,-2.57
40265,0,0.58,-0.18,-4.82
117443,0,7.67,27.96,7.43
78318,0,-1.79,-9.27,-2.77
16237,0,3.9,-6.18,3.18
48609,0,-1.62,-7.12,-1.03
62130,0,1.9,55.82,5.18
30369,0,-2.51,-16.64,-0.67
133391,0,4.58,-4.18,0.18
114437,0,-2.51,-10.64,0.33
55293,0,1.67,-5.04,3.43
42200,0,-15.24,-15.02,8.96
112842,0,-2.33,-3.04,-4.57
125757,0,6.16,36.61,3.61
