,index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
1416,53892,27643,Matthew Denny,M,20.0,195.0,118.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,,0,0,-0.79,-0.91,-7.94
1417,53927,27666,Evangelos Depastas,M,28.0,175.0,65.0,Greece,GRE,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 1,500 metres",,0,0,-2.53,-1.32,3.39
1418,53952,27680,Jacques Dprez,M,22.0,180.0,73.0,France,FRA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-4.49,-3.46,-1.97
1419,54064,27734,Philippe Deroche,M,21.0,173.0,69.0,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,0,-8.65,-4.26,-2.87
1420,54065,27734,Philippe Deroche,M,25.0,173.0,69.0,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,0,-6.87,-4.43,1.03
1421,54290,27858,Patrick Desruelles,M,23.0,188.0,78.0,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Pole Vault,,0,0,5.37,2.08,-1.37
1422,54291,27859,Ronald Desruelles,M,21.0,186.0,81.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,0,4.35,7.74,-2.87
1423,54292,27859,Ronald Desruelles,M,29.0,186.0,81.0,Belgium,BEL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,0,9.19,10.31,5.91
1424,54324,27870,Bereket Desta Gebretsadik,M,22.0,180.0,63.0,Ethiopia,ETH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,0,-1.41,-10.37,-1.71
1425,54605,28007,Alfredo Deza Ganoza,M,24.0,192.0,74.0,Peru,PER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's High Jump,,0,0,-0.66,-3.37,-0.89
1426,54606,28008,Alfredo Juan Deza Fuller,M,24.0,185.0,78.0,Peru,PER,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,,0,0,1.61,2.68,-1.16
1427,54704,28053,Paul Joseph Anthony Di Bella,M,23.0,178.0,68.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,0.21,-5.77,-1.61
1428,54800,28080,Alfonso Di Guida,M,22.0,181.0,74.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,0,0.12,1.35,-1.98
1429,54819,28091,Gennaro Di Napoli,M,20.0,182.0,62.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,3.54,-2.88,-4.7
