,index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
1358,51558,26499,Augusto Dutra de Oliveira,M,26.0,180.0,70.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,,0,0,-5.74,-7.9,0.29
1359,51563,26502,Edgar Martins de Oliveira,M,24.0,180.0,67.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,2.43,3.67,-0.57
1360,51564,26502,Edgar Martins de Oliveira,M,28.0,180.0,67.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,0,0.71,1.27,2.55
1361,51578,26509,Joo Carlos de Oliveira,M,22.0,186.0,76.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,1,4.35,2.74,-1.87
1362,51580,26509,Joo Carlos de Oliveira,M,26.0,186.0,76.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,2,6.13,2.57,2.03
1363,51582,26510,Joo Vtor de Oliveira,M,24.0,190.0,87.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,,0,0,4.26,6.03,-2.32
1364,51584,26512,Jlio Csar Miranda de Oliveira,M,30.0,185.0,95.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,,0,0,-3.14,-0.32,3.43
1365,51590,26516,Raphael Raymundo de Oliveira,M,21.0,170.0,68.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,-7.79,-5.77,-3.61
1366,51742,26591,Jos Fernandes de Rocha,M,28.0,172.0,64.0,Portugal,POR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,,0,0,-3.56,-6.13,4.2
1367,51866,26659,Neil De Silva,M,26.0,175.0,75.0,Trinidad and Tobago,TTO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,0,-5.52,2.98,1.35
1368,51867,26659,Neil De Silva,M,30.0,175.0,75.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,0,-7.15,0.85,5.4
1369,51916,26680,Douglas de Souza,M,23.0,194.0,88.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,,0,0,9.14,11.96,-2.39
1370,51921,26684,Grson Andrade de Souza,M,25.0,176.0,74.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,0,-3.34,3.2,1.07
1371,51923,26684,Grson Andrade de Souza,M,29.0,176.0,74.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,-2.96,3.3,4.93
1372,51924,26685,Hudson Santos de Souza,M,23.0,181.0,64.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,2.78,-0.6,-1.52
1373,51925,26685,Hudson Santos de Souza,M,27.0,181.0,64.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,1.79,-1.47,2.32
1374,51926,26685,Hudson Santos de Souza,M,31.0,181.0,64.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,0,4.74,1.2,5.87
1375,51929,26688,Jos Maurice de Souza Brice,M,25.0,187.0,70.0,Benin,BEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,0,0,1.82,-4.99,0.77
1376,51932,26691,Mrcio Simo de Souza,M,25.0,181.0,79.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-4.4,-0.56,-0.74
1377,51933,26691,Mrcio Simo de Souza,M,29.0,181.0,79.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-5.13,-1.53,3.77
1378,51942,26695,Sidney Telles de Souza,M,25.0,183.0,65.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,2.02,-6.78,0.7
1379,51947,26699,Walmes Rangel de Souza,M,19.0,192.0,80.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,,0,0,5.22,1.54,-6.31
1380,52034,26743,Armando De Vincentis,M,28.0,185.0,104.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Discus Throw,,0,0,-5.07,-8.43,-0.28
1381,52035,26743,Armando De Vincentis,M,32.0,185.0,104.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Discus Throw,,0,0,-5.67,-10.8,3.8
1382,52121,26789,"Pierre Eric Omar ""Peppie"" de Windt",M,21.0,185.0,83.0,Aruba,ARU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,7.32,8.52,-4.0
1383,52179,26810,Matthias de Zordo,M,24.0,190.0,98.0,Germany,GER,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,,0,0,2.48,3.2,-1.84
1384,52183,26812,Gunaratna Chintaki De Zoysa,M,24.0,168.0,58.0,Sri Lanka,SRI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,-10.28,-16.26,-0.93
1385,52200,26825,Mark Deady,M,21.0,188.0,71.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,9.54,6.12,-3.7
1386,52201,26826,Marcell Dek Nagy,M,20.0,186.0,73.0,Hungary,HUN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,0,4.59,-0.37,-3.71
1387,52246,26848,Roderick Genki Dean,M,20.0,182.0,86.0,Japan,JPN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,,0,0,-5.52,-8.8,-5.84
1388,52339,26882,Asfaw Deble,M,25.0,174.0,61.0,Ethiopia,ETH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,-8.49,-10.58,1.29
1389,52493,26975,"Anthony Michael ""Tony"" Dees",M,28.0,193.0,90.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,Silver,1,0,8.23,13.18,2.49
1390,52592,27007,Adrien Deghelt,M,27.0,185.0,77.0,Belgium,BEL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-1.71,-2.94,1.31
1391,52641,27031,Andr Dehertoghe,M,27.0,172.0,58.0,Belgium,BEL,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",,0,0,-6.4,-7.49,3.51
1392,52642,27031,Andr Dehertoghe,M,31.0,172.0,58.0,Belgium,BEL,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,0,-6.64,-7.59,6.78
1393,52782,27098,"Giovanni ""Gianni"" Del Buono",M,25.0,178.0,65.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",,0,0,-0.4,-0.49,1.51
1394,52783,27098,"Giovanni ""Gianni"" Del Buono",M,28.0,178.0,65.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,0,-0.64,-0.59,3.78
1395,52818,27118,Enzo Del Forno,M,22.0,190.0,80.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's High Jump,,0,0,3.9,3.7,-1.2
1396,52840,27134,Isidro del Prado,M,25.0,176.0,73.0,Philippines,PHI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,0,-3.34,2.2,1.07
1397,52914,27175,Jone Delai,M,28.0,172.0,77.0,Fiji,FIJ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,-6.28,2.74,3.07
1398,53046,27232,Jocelyn Delecour,M,25.0,175.0,67.0,France,FRA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,0,-1.26,-3.4,2.19
1399,53051,27232,Jocelyn Delecour,M,33.0,175.0,67.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,2,-0.43,-3.75,8.54
1400,53095,27254,Pierre Dlze,M,21.0,175.0,62.0,Switzerland,SUI,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,0,0,-3.22,-2.25,-2.72
1401,53096,27254,Pierre Dlze,M,25.0,175.0,62.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,0,-2.75,-2.82,1.15
1402,53208,27313,Patrick Delice,M,20.0,184.0,77.0,Trinidad and Tobago,TTO,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,5.04,6.3,-4.07
1403,53209,27313,Patrick Delice,M,24.0,184.0,77.0,Trinidad and Tobago,TTO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,3.02,5.22,-0.3
1404,53213,27315,Dimitrios Delifotis,M,23.0,180.0,77.0,Greece,GRE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,0,0.13,3.57,-0.97
1405,53229,27323,Luis Marano Dels Fournier,M,22.0,185.0,106.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,Bronze,1,0,-4.94,-2.56,-4.33
1406,53269,27344,Paolo Della Santa,M,27.0,185.0,73.0,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-0.4,-6.56,1.26
1407,53412,27414,Dmytro Oleksiyovych Dem'ianiuk,M,25.0,200.0,84.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,,0,0,8.4,7.9,0.07
1408,53413,27414,Dmytro Oleksiyovych Dem'ianiuk,M,29.0,200.0,84.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,,0,0,7.11,6.94,2.83
1409,53414,27415,Oleksiy Volodymyrovych Dem'ianiuk,M,21.0,188.0,80.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's High Jump,,0,0,-1.79,1.86,-0.76
1410,53451,27433,Francis Demarthon,M,29.0,178.0,65.0,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,-4.49,-6.58,5.29
1411,53457,27437,Moussa Dembele,M,23.0,182.0,78.0,Senegal,SEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-4.71,-1.94,-2.69
1412,53483,27447,Juraj Deme,M,27.0,179.0,76.0,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,0,2.81,6.34,3.31
1413,53555,27478,Serhiy Oleksandrovych Demidiuk,M,22.0,195.0,85.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,,0,0,8.87,4.47,-3.23
1414,53802,27593,Dadi Denis,M,27.0,185.0,78.0,Haiti,HAI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,0,4.23,5.1,2.89
1415,53878,27634,Robert M. Dennis,M,21.0,177.0,77.0,Liberia,LBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,-1.28,2.74,-3.93
