ID,Height,Age,Weight
16052,190.0,34.0,72.0
16086,185.0,31.0,77.5
16096,172.0,23.0,70.0
16209,196.0,33.0,120.0
16237,189.0,29.0,78.0
16373,170.0,18.0,64.0
16543,183.0,24.0,84.0
16683,173.0,21.0,64.0
16964,191.0,23.0,80.0
17033,186.0,25.0,90.0
17256,173.0,32.0,67.0
17285,168.0,25.0,51.0
17548,176.0,29.0,62.0
17560,196.0,27.0,84.0
17660,176.0,26.0,72.0
17976,170.0,28.0,60.0
18020,180.0,21.0,82.0
18058,166.0,28.0,60.0
18294,186.0,24.0,76.0
18692,170.0,37.0,63.0
18695,187.0,19.0,81.0
18695,187.0,23.0,81.0
18835,175.0,18.0,70.0
18890,169.0,28.0,58.0
18961,190.0,25.0,73.0
18988,173.0,19.0,70.0
19437,179.0,27.0,61.0
19635,177.0,23.0,73.0
19770,194.0,29.0,130.0
19888,178.0,21.0,74.0
19944,172.0,28.0,60.0
19944,172.0,37.0,60.0
20016,177.0,20.0,69.0
20157,164.0,28.0,55.0
20243,172.0,21.0,62.0
20365,172.0,23.0,70.0
20381,188.0,23.0,76.0
20456,158.0,18.0,52.0
20791,195.0,23.0,82.0
20811,174.0,26.0,58.0
20812,173.0,27.0,53.0
21406,190.0,23.0,82.0
21414,189.0,33.0,131.0
21770,184.0,30.0,78.0
22227,186.0,33.0,79.0
22377,169.0,27.0,54.0
22413,177.0,28.0,76.0
22468,180.0,32.0,77.0
22676,185.0,33.0,78.0
22683,175.0,27.0,79.0
22737,183.0,43.0,100.0
23025,197.0,26.0,85.0
23035,188.0,30.0,75.0
23084,186.0,25.0,78.0
23236,181.0,23.0,76.0
24476,181.0,20.0,69.0
24713,178.0,30.0,62.0
24738,180.0,24.0,71.0
24751,182.0,19.0,64.0
24787,190.0,26.0,92.0
24949,189.0,25.0,115.0
24969,175.0,22.0,69.0
25004,178.0,36.0,68.0
25113,185.0,24.0,79.0
25173,179.0,20.0,80.0
25635,185.0,30.0,77.0
25785,162.0,21.0,60.0
25812,185.0,24.0,74.0
26019,180.0,31.0,65.0
26028,176.0,26.0,67.0
26307,175.0,24.0,65.0
26375,166.0,27.0,66.0
26391,187.0,22.0,70.0
26396,188.0,31.0,70.0
26822,185.0,24.0,77.0
26826,186.0,20.0,73.0
27029,173.0,31.0,52.0
27029,173.0,31.0,52.0
27232,175.0,33.0,67.0
27634,177.0,21.0,77.0
28053,178.0,23.0,68.0
28053,178.0,27.0,68.0
28291,178.0,26.0,71.0
28303,190.0,21.0,78.0
28359,183.0,28.0,86.0
28750,168.0,25.0,57.0
28753,180.0,28.0,71.0
28860,186.0,26.0,80.0
28880,167.0,33.0,80.0
29133,178.0,23.0,77.0
29144,185.0,25.0,78.0
29207,183.0,25.0,79.0
29335,183.0,25.0,74.0
29336,189.0,24.0,83.0
29542,173.0,18.0,63.0
29604,185.0,20.0,74.0
29664,183.0,21.0,75.0
29750,180.0,21.0,80.0
29946,175.0,31.0,57.0
30167,165.0,20.0,65.0
30327,183.0,26.0,63.0
30629,190.0,22.0,80.0
30644,182.0,25.0,70.0
30730,162.0,20.0,54.0
30803,173.0,19.0,68.0
30829,189.0,24.0,85.0
31080,172.0,34.0,63.0
31097,185.0,19.0,76.0
31468,181.0,22.0,76.0
31527,191.0,34.0,90.0
31529,184.0,21.0,72.0
31552,174.0,30.0,65.0
31578,192.0,36.0,125.0
31629,171.0,27.0,72.0
31678,190.0,22.0,65.0
31678,190.0,30.0,65.0
31940,180.0,27.0,61.0
32033,188.0,28.0,70.0
32077,172.0,25.0,65.0
32182,175.0,26.0,69.0
32267,180.0,25.0,67.0
32515,178.0,31.0,69.0
32571,174.0,26.0,61.0
32744,176.0,28.0,77.0
32862,188.0,24.0,69.0
32872,178.0,31.0,70.0
33100,179.0,28.0,77.0
33168,182.0,26.0,73.0
33215,168.0,37.0,56.0
33422,177.0,23.0,72.0
33519,183.0,19.0,65.0
34124,187.0,34.0,98.0
34250,185.0,18.0,65.0
34336,190.0,26.0,75.0
