ID,Height
28969,178.0
29063,186.0
29063,186.0
29094,172.0
29156,196.0
29164,173.0
29191,192.0
29206,188.0
29339,173.0
29366,180.0
29473,183.0
29576,166.0
29675,192.0
29701,193.0
29705,183.0
30155,186.0
30197,190.0
30393,178.0
30904,175.0
31019,186.0
31028,177.0
31040,178.0
31073,183.0
31085,180.0
31552,174.0
31738,188.0
31866,179.0
32015,177.0
32064,167.0
32191,178.0
32198,169.0
32230,178.0
32362,175.0
32482,183.0
32747,170.0
32747,170.0
32865,184.0
32998,183.0
33183,168.0
33268,180.0
33369,168.0
33377,183.0
33519,183.0
33530,180.0
33537,183.0
33570,185.0
33607,174.0
33773,191.0
34012,175.0
34208,175.0
34336,190.0
34559,182.0
34592,187.0
34833,190.0
35003,183.0
35088,174.0
35188,174.0
35212,181.0
35268,167.0
35404,176.0
35471,173.0
35559,186.0
35746,178.0
35916,182.0
36142,166.0
36168,176.0
36211,191.0
36245,180.0
36245,180.0
36389,170.0
36418,180.0
36531,190.0
36879,170.0
36880,170.0
36880,170.0
36902,188.0
37298,180.0
37404,182.0
37408,172.0
37654,188.0
37682,180.0
37839,173.0
37881,192.0
37904,174.0
37966,169.0
38086,186.0
38086,186.0
38357,188.0
38424,182.0
38582,167.0
38594,172.0
38594,172.0
38715,195.0
38980,174.0
39191,181.0
39212,175.0
39225,188.0
39508,190.0
39573,167.0
39828,186.0
40007,190.0
40007,190.0
40013,186.0
40028,182.0
40034,175.0
40034,175.0
40070,183.0
40105,176.0
40207,194.0
40319,175.0
40609,196.0
40677,173.0
40796,174.0
40805,179.0
41256,178.0
41286,185.0
41299,163.0
41356,185.0
41356,185.0
41559,178.0
41952,188.0
42036,183.0
42119,173.0
42482,182.0
42530,187.0
42570,181.0
42631,193.0
42663,185.0
42763,183.0
42819,182.0
42928,180.0
43087,180.0
43269,183.0
43271,168.0
43442,175.0
43639,185.0
43678,175.0
43750,187.0
43833,190.0
43866,163.0
44065,172.0
44209,183.0
44235,178.0
44332,176.0
44471,183.0
44544,186.0
44577,183.0
44696,178.0
44730,183.0
44907,189.0
44935,178.0
45031,180.0
45157,175.0
45413,166.0
45627,175.0
46253,183.0
46277,201.0
46297,173.0
46360,175.0
46604,180.0
46771,183.0
46862,188.0
47043,175.0
47104,188.0
47251,184.0
47284,187.0
47503,167.0
47731,171.0
47790,195.0
48039,175.0
