,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Height_div_avg,Weight_div_avg,Age_div_avg,MedalEarned
57346,29372,Dong Guojian,M,25.0,170.0,55.0,China,CHN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,-11.84,-21.87,-1.29,0
57347,29372,Dong Guojian,M,29.0,170.0,55.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,-10.9,-19.48,2.39,0
57350,29375,Dong Jimin,M,24.0,179.0,65.0,China,CHN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,,-2.57,-11.73,-2.18,0
57365,29384,Guillermo Dongo,M,18.0,180.0,75.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,-1.49,-1.45,-8.03,0
57405,29411,Helmuth Donner,M,19.0,180.0,75.0,Austria,AUT,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,,1.53,2.56,-6.05,0
57441,29431,Paul Donovan,M,21.0,179.0,63.0,Ireland,IRL,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,-0.19,-8.62,-3.72,0
57442,29431,Paul Donovan,M,29.0,179.0,63.0,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,-1.32,-10.85,3.4,0
57465,29446,"Thomas Robert ""Tom"" Dooley",M,22.0,178.0,66.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 20 kilometres Walk,,-1.07,-6.88,-3.23,0
57466,29446,"Thomas Robert ""Tom"" Dooley",M,26.0,178.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 20 kilometres Walk,,-1.02,-6.84,0.77,0
57496,29457,Valdas Dopolskas,M,24.0,183.0,69.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,2.1,-5.48,-2.61,0
